valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
ALCALDIA DE GIRON,ALCALDIA DE GIRON,ALCALDIA DE GIRON,ALCALDIA DE GIRON,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50680,SAN CARLOS DE GUAROA,META,59.46,20400,LA JAGUA DE IBIRICO,CESAR,55.56,25001,AGUA DE DIOS,CUNDINAMARCA,55.17,ALCALDIA DE GIRON,,ALCALDIA DE GIRON,ALCALDIA GIRON,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,76020,ALCALÁ,VALLE DEL CAUCA,60.0,ALCALA,76126,CALIMA,VALLE DEL CAUCA,59.26,CALIMA DARIEN,19137,CALDONO,CAUCA,57.14,CALDONO
ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,ALCALDIA MUNICIPAL DE BARANOA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,27245,EL CARMEN DE ATRATO,CHOCÓ,54.17,20400,LA JAGUA DE IBIRICO,CESAR,50.0,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,48.98,ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,ATLANTICO,ALCALDIA MUNICIPAL DE BARANOA,ALCALDIA BARANOA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08078,BARANOA,ATLÁNTICO,68.87,BARANOA,08675,SANTA LUCÍA,ATLÁNTICO,67.26,SANTA LUCIA,76126,CALIMA,VALLE DEL CAUCA,62.07,CALIMA DARIEN
ALCALDÍA DE ACACIAS,ALCALDIA DE ACACIAS,ALCALDIA DE ACACIAS,ALCALDIA DE ACACIAS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,57.14,73148,CARMEN DE APICALÁ,TOLIMA,55.56,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,55.0,ALCALDIA DE ACACIAS,,ALCALDIA DE ACACIAS,ALCALDIA ACACIAS,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,50006,ACACÍAS,META,60.87,ACACIAS,05154,CAUCASIA,ANTIOQUIA,58.33,CAUCASIA,17616,RISARALDA,CALDAS,56.0,RISARALDA
ALCALDÍA DE AGUAZUL,ALCALDIA DE AGUAZUL,ALCALDIA DE AGUAZUL,ALCALDIA DE AGUAZUL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,86865,VALLE DEL GUAMUEZ,PUTUMAYO,61.11,50680,SAN CARLOS DE GUAROA,META,56.41,73854,VALLE DE SAN JUAN,TOLIMA,55.56,ALCALDIA DE AGUAZUL,,ALCALDIA DE AGUAZUL,ALCALDIA AGUAZUL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,85010,AGUAZUL,CASANARE,70.97,AGUAZUL CASANRE,20011,AGUACHICA,CESAR,56.0,AGUACHICA,25001,AGUA DE DIOS,CUNDINAMARCA,56.0,AGUA DIOS
ALCALDÍA DE BARRANQUILLA,ALCALDIA DE BARRANQUILLA,ALCALDIA DE BARRANQUILLA,ALCALDIA DE BARRANQUILLA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8001,BARRANQUILLA,ATLÁNTICO,66.67,73443,SAN SEBASTIÁN DE MARIQUITA,TOLIMA,56.0,8520,PALMAR DE VARELA,ATLÁNTICO,55.0,ALCALDIA DE BARRANQUILLA,,ALCALDIA DE BARRANQUILLA,ALCALDIA BARRANQUILLA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,08001,BARRANQUILLA,ATLÁNTICO,72.73,BARRANQUILLA,13442,MARÍA LA BAJA,BOLÍVAR,52.94,MARIA LA BAJA,50110,BARRANCA DE UPÍA,META,52.94,BARRANCA UPIA
ALCALDÍA DE COVEÑAS SUCRE,ALCALDIA DE COVENAS SUCRE,ALCALDIA DE COVENAS SUCRE,ALCALDIA DE COVENAS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,70221,COVEÑAS,SUCRE,57.85,8520,PALMAR DE VARELA,ATLÁNTICO,57.14,68655,SABANA DE TORRES,SANTANDER,57.14,ALCALDIA DE COVENAS SUCRE,SUCRE,ALCALDIA DE COVENAS,ALCALDIA COVENAS,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,70221,COVEÑAS,SUCRE,68.87,COVENAS,73148,CARMEN DE APICALÁ,TOLIMA,60.0,CARMEN APICALA,76126,CALIMA,VALLE DEL CAUCA,55.17,CALIMA DARIEN
ALCALDÍA DE JAMUNDÍ,ALCALDIA DE JAMUNDI,ALCALDIA DE JAMUNDI,ALCALDIA DE JAMUNDI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73854,VALLE DE SAN JUAN,TOLIMA,55.56,86865,VALLE DEL GUAMUEZ,PUTUMAYO,55.56,76364,JAMUNDÍ,VALLE DEL CAUCA,53.85,ALCALDIA DE JAMUNDI,,ALCALDIA DE JAMUNDI,ALCALDIA JAMUNDI,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,76364,JAMUNDÍ,VALLE DEL CAUCA,60.87,JAMUNDI,73148,CARMEN DE APICALÁ,TOLIMA,60.61,CARMEN DE APICALA,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,55.17,SANTIAGO CALI
ALCALDÍA DEPARTAMENTO DEL META,ALCALDIA DEPARTAMENTO DEL META,ALCALDIA DEPARTAMENTO DEL META,ALCALDIA DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76020,ALCALÁ,VALLE DEL CAUCA,66.67,50006,ACACÍAS,META,56.63,27006,ACANDÍ,CHOCÓ,55.56,ALCALDIA DEPARTAMENTO DEL META,META,ALCALDIA DEPARTAMENTO DEL,ALCALDIA DEPARTAMENTO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,76126,CALIMA,VALLE DEL CAUCA,64.71,CALIMA DARIEN,73148,CARMEN DE APICALÁ,TOLIMA,62.86,CARMEN APICALA,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,59.46,SANTIAGO DE CALI
Alcaldia Chinchina Caldas,ALCALDIA CHINCHINA CALDAS,ALCALDIA CHINCHINA CALDAS,ALCALDIA CHINCHINA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,17174,CHINCHINÁ,CALDAS,70.67,20011,AGUACHICA,CESAR,51.85,17653,SALAMINA,CALDAS,50.15,ALCALDIA CHINCHINA CALDAS,CALDAS,ALCALDIA CHINCHINA,ALCALDIA CHINCHINA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,17174,CHINCHINÁ,CALDAS,74.67,CHINCHINA,05150,CAROLINA,ANTIOQUIA,57.14,CAROLINA PRINCIPE,20011,AGUACHICA,CESAR,51.85,AGUACHICA
Alcaldía Municipal de Castilla La Nueva Meta,ALCALDIA MUNICIPAL DE CASTILLA LA NUEVA META,ALCALDIA MUNICIPAL DE CASTILLA LA NUEVA META,ALCALDIA MUNICIPAL DE CASTILLA LA NUEVA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50150,CASTILLA LA NUEVA,META,64.71,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,44.07,8137,CAMPO DE LA CRUZ,ATLÁNTICO,43.64,ALCALDIA MUNICIPAL DE CASTILLA LA NUEVA META,META,ALCALDIA MUNICIPAL DE CASTILLA LA NUEVA,ALCALDIA CASTILLA NUEVA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,50150,CASTILLA LA NUEVA,META,83.68,CASTILLA NUEVA,50251,EL CASTILLO,META,60.94,EL CASTILLO,47460,NUEVA GRANADA,MAGDALENA,55.56,NUEVA GRANADA
Alcaldía de Rionegro,ALCALDIA DE RIONEGRO,ALCALDIA DE RIONEGRO,ALCALDIA DE RIONEGRO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,85250,PAZ DE ARIPORO,CASANARE,58.82,5615,RIONEGRO,ANTIOQUIA,57.14,68615,RIONEGRO,SANTANDER,57.14,ALCALDIA DE RIONEGRO,,ALCALDIA DE RIONEGRO,ALCALDIA RIONEGRO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68615,RIONEGRO,SANTANDER,64.0,RIONEGRO,76126,CALIMA,VALLE DEL CAUCA,60.0,CALIMA DARIEN,05150,CAROLINA,ANTIOQUIA,58.82,CAROLINA PRINCIPE
Alcaldía de Rionegro ANT,ALCALDIA DE RIONEGRO ANT,ALCALDIA DE RIONEGRO ANT,ALCALDIA DE RIONEGRO ANT,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25843,VILLA DE SAN DIEGO DE UBATÉ,CUNDINAMARCA,54.9,50680,SAN CARLOS DE GUAROA,META,54.55,85250,PAZ DE ARIPORO,CASANARE,52.63,ALCALDIA DE RIONEGRO ANT,,ALCALDIA DE RIONEGRO ANT,ALCALDIA RIONEGRO ANT,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,64.71,SANTIAGO CALI,76126,CALIMA,VALLE DEL CAUCA,58.82,CALIMA DARIEN,68615,RIONEGRO,SANTANDER,55.17,RIONEGRO
Alcaldía de la Dorada Caldas,ALCALDIA DE LA DORADA CALDAS,ALCALDIA DE LA DORADA CALDAS,ALCALDIA DE LA DORADA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,17380,LA DORADA,CALDAS,64.0,15332,GÜICÁN DE LA SIERRA,BOYACÁ,55.0,8137,CAMPO DE LA CRUZ,ATLÁNTICO,54.05,ALCALDIA DE LA DORADA CALDAS,CALDAS,ALCALDIA DE LA DORADA,ALCALDIA DORADA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,17380,LA DORADA,CALDAS,65.14,DORADA,17616,RISARALDA,CALDAS,58.0,RISARALDA,76020,ALCALÁ,VALLE DEL CAUCA,57.14,ALCALA
Alcaldía de villa del Rosario,ALCALDIA DE VILLA DEL ROSARIO,ALCALDIA DE VILLA DEL ROSARIO,ALCALDIA DE VILLA DEL ROSARIO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,73.91,13030,ALTOS DEL ROSARIO,BOLÍVAR,60.87,68720,SANTA HELENA DEL OPÓN,SANTANDER,52.0,ALCALDIA DE VILLA DEL ROSARIO,,ALCALDIA DE VILLA DEL ROSARIO,ALCALDIA VILLA ROSARIO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,76.92,VILLA DEL ROSARIO,54871,VILLA CARO,NORTE DE SANTANDER,62.5,VILLA CARO,13030,ALTOS DEL ROSARIO,BOLÍVAR,57.14,ALTOS ROSARIO
CIRCUITO,CIRCUITO,CIRCUITO,CIRCUITO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13188,CICUCO,BOLÍVAR,71.43,70124,CAIMITO,SUCRE,66.67,68162,CERRITO,SANTANDER,66.67,CIRCUITO,,CIRCUITO,CIRCUITO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13188,CICUCO,BOLÍVAR,71.43,CICUCO,19212,CORINTO,CAUCA,66.67,CORINTO,76248,EL CERRITO,VALLE DEL CAUCA,66.67,CERRITO
CIRCUITO - CHIRIGUANÁ,CIRCUITO CHIRIGUANA,CIRCUITO CHIRIGUANA,CIRCUITO CHIRIGUANA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,20178,CHIRIGUANÁ,CESAR,68.97,86571,PUERTO GUZMÁN,PUTUMAYO,50.0,5591,PUERTO TRIUNFO,ANTIOQUIA,48.48,CIRCUITO CHIRIGUANA,,CIRCUITO CHIRIGUANA,CIRCUITO CHIRIGUANA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,20178,CHIRIGUANÁ,CESAR,68.97,CHIRIGUANA,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,54.05,SAN VICENTE CAGUAN,68689,SAN VICENTE DE CHUCURÍ,SANTANDER,52.63,SAN VICENTE CHUCURI
CIRCUITO Caldas,CIRCUITO CALDAS,CIRCUITO CALDAS,CIRCUITO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13188,CICUCO,BOLÍVAR,71.43,70124,CAIMITO,SUCRE,66.67,68162,CERRITO,SANTANDER,66.67,CIRCUITO CALDAS,CALDAS,CIRCUITO,CIRCUITO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13188,CICUCO,BOLÍVAR,71.43,CICUCO,19212,CORINTO,CAUCA,66.67,CORINTO,76248,EL CERRITO,VALLE DEL CAUCA,66.67,CERRITO
CIRCUITO DE GRANADA META,CIRCUITO DE GRANADA META,CIRCUITO DE GRANADA META,CIRCUITO DE GRANADA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,47460,NUEVA GRANADA,MAGDALENA,62.5,50313,GRANADA,META,57.85,50680,SAN CARLOS DE GUAROA,META,55.28,CIRCUITO DE GRANADA META,META,CIRCUITO DE GRANADA,CIRCUITO GRANADA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,50313,GRANADA,META,68.87,GRANADA,20178,CHIRIGUANÁ,CESAR,61.54,CHIRIGUANA,50686,SAN JUANITO,META,59.85,SAN JUANITO
CIRCUITO JUDICIAL TULUÁ VALLE,CIRCUITO JUDICIAL TULUA VALLE,CIRCUITO JUDICIAL TULUA VALLE,CIRCUITO JUDICIAL TULUA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,40.0,73148,CARMEN DE APICALÁ,TOLIMA,39.13,52224,CUASPUD CARLOSAMA,NARIÑO,39.13,CIRCUITO JUDICIAL TULUA VALLE,VALLE DEL CAUCA,CIRCUITO JUDICIAL TULUA,CIRCUITO JUDICIAL TULUA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,20400,LA JAGUA DE IBIRICO,CESAR,52.38,LA JAGUA DE IBIRICO,76248,EL CERRITO,VALLE DEL CAUCA,50.42,EL CERRITO,13620,SAN CRISTÓBAL,BOLÍVAR,50.0,SAN CRISTOBAL
Circuito Barrancabermeja Puerto Wilches,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68081,BARRANCABERMEJA,SANTANDER,55.56,68575,PUERTO WILCHES,SANTANDER,52.83,47720,SANTA BÁRBARA DE PINTO,MAGDALENA,39.34,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,CIRCUITO BARRANCABERMEJA PUERTO WILCHES,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68081,BARRANCABERMEJA,SANTANDER,55.56,BARRANCABERMEJA,68575,PUERTO WILCHES,SANTANDER,52.83,PUERTO WILCHES,05579,PUERTO BERRÍO,ANTIOQUIA,50.0,PUERTO BERRIO
Circuito Huila,CIRCUITO HUILA,CIRCUITO HUILA,CIRCUITO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13188,CICUCO,BOLÍVAR,71.43,70124,CAIMITO,SUCRE,66.67,68162,CERRITO,SANTANDER,66.67,CIRCUITO HUILA,HUILA,CIRCUITO,CIRCUITO,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,13188,CICUCO,BOLÍVAR,71.43,CICUCO,19212,CORINTO,CAUCA,66.67,CORINTO,76248,EL CERRITO,VALLE DEL CAUCA,66.67,CERRITO
Circuito de Honda Tolima,CIRCUITO DE HONDA TOLIMA,CIRCUITO DE HONDA TOLIMA,CIRCUITO DE HONDA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,55.56,76122,CAICEDONIA,VALLE DEL CAUCA,51.85,20614,RÍO DE ORO,CESAR,51.85,CIRCUITO DE HONDA TOLIMA,TOLIMA,CIRCUITO DE HONDA,CIRCUITO HONDA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,73349,HONDA,TOLIMA,60.63,HONDA,73226,CUNDAY,TOLIMA,58.0,CUNDAY,63190,CIRCASIA,QUINDÍO,54.55,CIRCASIA
Consejo Superior de la Judicatura CIRCUITO JUDICIAL TULUÁ VALLE,CONSEJO SUPERIOR DE LA JUDICATURA CIRCUITO JUDICIAL TULUA VALLE,CONSEJO SUPERIOR DE LA JUDICATURA CIRCUITO JUDICIAL TULUA VALLE,CONSEJO SUPERIOR DE LA JUDICATURA CIRCUITO JUDICIAL TULUA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,52694,SAN PEDRO DE CARTAGO,NARIÑO,36.14,5665,SAN PEDRO DE URABÁ,ANTIOQUIA,34.57,47161,CERRO DE SAN ANTONIO,MAGDALENA,33.73,CONSEJO SUPERIOR DE LA JUDICATURA CIRCUITO JUDICIAL TULUA VALLE,VALLE DEL CAUCA,CONSEJO SUPERIOR DE LA JUDICATURA CIRCUITO JUDICIAL TULUA,CONSEJO SUPERIOR JUDICATURA CIRCUITO JUDICIAL TULUA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,15332,GÜICÁN DE LA SIERRA,BOYACÁ,40.0,GUICAN DE LA SIERRA,50450,PUERTO CONCORDIA,META,38.81,PUERTO CONCORDIA,44420,LA JAGUA DEL PILAR,LA GUAJIRA,37.68,LA JAGUA DEL PILAR
Consejo Superior de la Judicatura JUZGADO PROMISCUO MUNICIPAL DE SABOYA BOYACA,CONSEJO SUPERIOR DE LA JUDICATURA JUZGADO PROMISCUO MUNICIPAL DE SABOYA BOYACA,CONSEJO SUPERIOR DE LA JUDICATURA JUZGADO PROMISCUO MUNICIPAL DE SABOYA BOYACA,CONSEJO SUPERIOR DE LA JUDICATURA JUZGADO PROMISCUO MUNICIPAL DE SABOYA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,52694,SAN PEDRO DE CARTAGO,NARIÑO,35.16,23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,33.33,5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,33.33,CONSEJO SUPERIOR DE LA JUDICATURA JUZGADO PROMISCUO MUNICIPAL DE SABOYA BOYACA,BOYACA,CONSEJO SUPERIOR DE LA JUDICATURA JUZGADO PROMISCUO MUNICIPAL DE SABOYA,CONSEJO SUPERIOR JUDICATURA JUZGADO PROMISCUO SABOYA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,15332,GÜICÁN DE LA SIERRA,BOYACÁ,44.62,GUICAN DE LA SIERRA,15693,SANTA ROSA DE VITERBO,BOYACÁ,43.62,SANTA ROSA DE VITERBO,20443,MANAURE BALCÓN DEL CESAR,CESAR,39.47,MANAURE BALCON DEL CESAR
DISTRITO JUDICIAL DE ANTIOQUIA,DISTRITO JUDICIAL DE ANTIOQUIA,DISTRITO JUDICIAL DE ANTIOQUIA,DISTRITO JUDICIAL DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5659,SAN JUAN DE URABÁ,ANTIOQUIA,47.24,5113,BURITICÁ,ANTIOQUIA,46.86,5686,SANTA ROSA DE OSOS,ANTIOQUIA,46.11,DISTRITO JUDICIAL DE ANTIOQUIA,ANTIOQUIA,DISTRITO JUDICIAL DE,JUDICIAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,47058,ARIGUANÍ,MAGDALENA,66.67,DIFICIL,66594,QUINCHÍA,RISARALDA,62.5,QUINCHIA,25851,ÚTICA,CUNDINAMARCA,61.54,UTICA
Distrito Judicial Cundinamarca,DISTRITO JUDICIAL CUNDINAMARCA,DISTRITO JUDICIAL CUNDINAMARCA,DISTRITO JUDICIAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,44098,DISTRACCIÓN,LA GUAJIRA,50.0,8675,SANTA LUCÍA,ATLÁNTICO,50.0,5113,BURITICÁ,ANTIOQUIA,48.0,DISTRITO JUDICIAL CUNDINAMARCA,CUNDINAMARCA,DISTRITO JUDICIAL,JUDICIAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25851,ÚTICA,CUNDINAMARCA,69.54,UTICA,47058,ARIGUANÍ,MAGDALENA,66.67,DIFICIL,25126,CAJICÁ,CUNDINAMARCA,65.14,CAJICA
Distrito Judicial de Cundinamarca,DISTRITO JUDICIAL DE CUNDINAMARCA,DISTRITO JUDICIAL DE CUNDINAMARCA,DISTRITO JUDICIAL DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,44098,DISTRACCIÓN,LA GUAJIRA,45.16,8675,SANTA LUCÍA,ATLÁNTICO,45.16,25662,SAN JUAN DE RIOSECO,CUNDINAMARCA,45.03,DISTRITO JUDICIAL DE CUNDINAMARCA,CUNDINAMARCA,DISTRITO JUDICIAL DE,JUDICIAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,25851,ÚTICA,CUNDINAMARCA,69.54,UTICA,47058,ARIGUANÍ,MAGDALENA,66.67,DIFICIL,25126,CAJICÁ,CUNDINAMARCA,65.14,CAJICA
Distrito Judicial de Risaralda,DISTRITO JUDICIAL DE RISARALDA,DISTRITO JUDICIAL DE RISARALDA,DISTRITO JUDICIAL DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,66456,MISTRATÓ,RISARALDA,46.86,44098,DISTRACCIÓN,LA GUAJIRA,45.16,8675,SANTA LUCÍA,ATLÁNTICO,45.16,DISTRITO JUDICIAL DE RISARALDA,RISARALDA,DISTRITO JUDICIAL DE,JUDICIAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,66594,QUINCHÍA,RISARALDA,70.5,QUINCHIA,47058,ARIGUANÍ,MAGDALENA,66.67,DIFICIL,25851,ÚTICA,CUNDINAMARCA,61.54,UTICA
Distrito Judicial del Putumayo,DISTRITO JUDICIAL DEL PUTUMAYO,DISTRITO JUDICIAL DEL PUTUMAYO,DISTRITO JUDICIAL DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,44650,SAN JUAN DEL CESAR,LA GUAJIRA,46.15,13688,SANTA ROSA DEL SUR,BOLÍVAR,46.15,70702,SAN JUAN DE BETULIA,SUCRE,45.0,DISTRITO JUDICIAL DEL PUTUMAYO,PUTUMAYO,DISTRITO JUDICIAL DEL,JUDICIAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,47058,ARIGUANÍ,MAGDALENA,66.67,DIFICIL,66594,QUINCHÍA,RISARALDA,62.5,QUINCHIA,25851,ÚTICA,CUNDINAMARCA,61.54,UTICA
GOBERNACION DE CUNDINAMRACA,GOBERNACION DE CUNDINAMRACA,GOBERNACION DE CUNDINAMRACA,GOBERNACION DE CUNDINAMRACA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,54.17,25645,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,52.83,13001,CARTAGENA DE INDIAS,BOLÍVAR,52.17,GOBERNACION DE CUNDINAMRACA,,GOBERNACION DE CUNDINAMRACA,GOBERNACION CUNDINAMRACA,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,27810,UNIÓN PANAMERICANA,CHOCÓ,52.38,UNION PANAMERICANA,23189,CIÉNAGA DE ORO,CÓRDOBA,51.43,CIENAGA ORO,44098,DISTRACCIÓN,LA GUAJIRA,51.43,DISTRACCION
GOBERNACIÓN DE BOLIVAR,GOBERNACION DE BOLIVAR,GOBERNACION DE BOLIVAR,GOBERNACION DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54206,CONVENCIÓN,NORTE DE SANTANDER,58.33,68211,CONTRATACIÓN,SANTANDER,53.85,47288,FUNDACIÓN,MAGDALENA,52.17,GOBERNACION DE BOLIVAR,BOLIVAR,GOBERNACION DE,GOBERNACION,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,54206,CONVENCIÓN,NORTE DE SANTANDER,66.67,CONVENCION,52685,SAN BERNARDO,NARIÑO,60.87,SAN BERNARDO,68211,CONTRATACIÓN,SANTANDER,60.87,CONTRATACION
Gobernacion de Santander,GOBERNACION DE SANTANDER,GOBERNACION DE SANTANDER,GOBERNACION DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,54206,CONVENCIÓN,NORTE DE SANTANDER,58.33,68211,CONTRATACIÓN,SANTANDER,57.85,68207,CONCEPCIÓN,SANTANDER,54.0,GOBERNACION DE SANTAN DER,SANTAN DER,GOBERNACION DE,GOBERNACION,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,68211,CONTRATACIÓN,SANTANDER,68.87,CONTRATACION,68264,ENCINO,SANTANDER,66.82,ENCINO,68266,ENCISO,SANTANDER,66.82,ENCISO
Hospital César,HOSPITAL CESAR,HOSPITAL CESAR,HOSPITAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,41548,PITAL,HUILA,76.92,52506,OSPINA,NARIÑO,71.43,73268,ESPINAL,TOLIMA,66.67,HOSPITAL CESAR,CESAR,HOSPITAL,HOSPITAL,IGNORAR,,,,,,contiene términos institucionales/judiciales/administrativos; no debe mapearse a municipio,41548,PITAL,HUILA,76.92,PITAL,52506,OSPINA,NARIÑO,71.43,OSPINA,73268,ESPINAL,TOLIMA,66.67,ESPINAL
